Accidentes de tránsito terrestre
,Zona ocurrio accidente : Zona urbana
,

Consulta de: Accidentes de tránsito   Por: Año de ocurrencia   Según: Ent y mun de ocurrencia
 , Guadalajara
 1997,"13,767"
 1998,"12,800"
 1999,"18,301"
 2000,"17,791"
 2001,"19,274"
 2002,"22,885"
 2003,"24,420"
 2004,"25,322"
 2005,"25,284"
 2006,"27,583"
 2007,"29,617"
 2008,"28,396"
 2009,"25,851"
 2010,"23,222"
 2011,"22,128"
 2012,"23,163"
 2013,"21,802"
 2014,"19,414"
 2015,"16,141"
 2016,"12,779"
 2017,"8,051"
 2018,"9,011"
 2019,"7,544"
 2020,"5,418"
 2021,"3,473"
 2022,"3,879"
 2023,"3,588"
 2024,"4,331"


FUENTE: INEGI. Estadísticas de accidentes de tránsito terrestre en zonas urbanas y suburbanas.
