edge_id,u,v,key,length,highway_type,speed_limit,num_lanes,has_cycleway,has_bike_lane,is_oneway,has_name,num_points,sinuosity,accident_count,has_accident,risk_from_accidents,calculated_risk_score,risk_category
130153606_12031988937_0,130153606,12031988937,0,1.303,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
130153606_1967746673_0,130153606,1967746673,0,76.877,primary,50,2,0,0,1,1,2,1.0,0,0,bajo,0.64,alto
130153676_7538071865_0,130153676,7538071865,0,5.643,secondary,50,4,0,0,1,1,2,1.0,0,0,bajo,0.56,medio
130153676_12015677394_0,130153676,12015677394,0,4.81,residential,40,1,0,0,1,1,2,1.0,0,0,bajo,0.32000000000000006,medio
130153753_1579128421_0,130153753,1579128421,0,77.292,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
130153753_8390244081_0,130153753,8390244081,0,81.072,secondary,50,4,0,0,1,1,2,1.0,0,0,bajo,0.56,medio
130153815_3053918045_0,130153815,3053918045,0,6.192,secondary,50,4,0,0,1,1,2,1.0,0,0,bajo,0.56,medio
130153815_377751045_0,130153815,377751045,0,105.989,primary,50,3,0,0,1,1,5,105.989,0,0,bajo,0.64,alto
286264718_3053918055_0,286264718,3053918055,0,4.402,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
286264718_377651367_0,286264718,377651367,0,101.811,primary,50,3,0,0,1,1,2,1.0,0,0,bajo,0.64,alto
291180106_8785239607_0,291180106,8785239607,0,32.354,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180106_291180174_0,291180106,291180174,0,90.271,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180165_8374109768_0,291180165,8374109768,0,35.098,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180165_8374109764_0,291180165,8374109764,0,39.024,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180166_1394290420_0,291180166,1394290420,0,79.504,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180166_291180168_0,291180166,291180168,0,98.352,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180168_6929932163_0,291180168,6929932163,0,88.139,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180168_8784531714_0,291180168,8784531714,0,52.515,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180169_1341846739_0,291180169,1341846739,0,102.618,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180169_1460325603_0,291180169,1460325603,0,79.329,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180173_1339256714_0,291180173,1339256714,0,81.175,pedestrian,50,1,0,0,0,1,2,1.0,0,0,bajo,0.56,medio
291180173_7768286944_0,291180173,7768286944,0,70.047,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180173_12754496169_0,291180173,12754496169,0,84.18,pedestrian,50,1,0,0,0,1,5,84.18,0,0,bajo,0.56,medio
291180174_1223706953_0,291180174,1223706953,0,83.757,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180174_291180175_0,291180174,291180175,0,83.408,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180175_1460325845_0,291180175,1460325845,0,89.591,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180175_1460325817_0,291180175,1460325817,0,80.481,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
291180359_340147958_0,291180359,340147958,0,76.676,primary,50,2,0,0,1,1,2,1.0,0,0,bajo,0.64,alto
291180359_800822900_0,291180359,800822900,0,114.309,residential,50,2,0,0,1,1,3,114.309,0,0,bajo,0.44000000000000006,medio
291260313_8370653095_0,291260313,8370653095,0,65.209,residential,40,1,0,0,1,1,2,1.0,0,0,bajo,0.32000000000000006,medio
294101534_8377425696_0,294101534,8377425696,0,32.96,primary,50,3,0,0,1,1,2,1.0,0,0,bajo,0.64,alto
294101534_559369299_0,294101534,559369299,0,19.917,secondary,50,4,0,0,1,1,2,1.0,0,0,bajo,0.56,medio
313660410_313660411_0,313660410,313660411,0,17.318,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
313660410_6465856300_0,313660410,6465856300,0,179.69,primary,50,3,0,0,1,1,3,179.69,0,0,bajo,0.64,alto
313660411_1408010574_0,313660411,1408010574,0,75.691,primary,50,3,0,0,1,1,2,1.0,0,0,bajo,0.64,alto
313660411_3053918042_0,313660411,3053918042,0,5.233,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
325769979_1369105759_0,325769979,1369105759,0,8.931,residential,50,1,0,0,0,1,2,1.0,0,0,bajo,0.44000000000000006,medio
325769979_1460325671_0,325769979,1460325671,0,47.205,residential,50,2,0,0,1,1,3,47.205,0,0,bajo,0.44000000000000006,medio
337893346_801504776_0,337893346,801504776,0,75.515,primary,50,3,0,0,1,1,2,1.0,0,0,bajo,0.64,alto
337893346_801504790_0,337893346,801504790,0,17.41,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
337902178_7768286919_0,337902178,7768286919,0,81.405,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
337902178_291180106_0,337902178,291180106,0,82.639,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
338165500_1374246944_0,338165500,1374246944,0,85.976,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
338165500_800823615_0,338165500,800823615,0,75.075,secondary,50,2,0,0,1,1,2,1.0,0,0,bajo,0.56,medio
340147771_1374271413_0,340147771,1374271413,0,60.256,pedestrian,50,1,0,0,0,1,2,1.0,0,0,bajo,0.56,medio
340147771_340147773_0,340147771,340147773,0,101.843,pedestrian,50,1,0,0,0,1,2,1.0,0,0,bajo,0.56,medio
340147771_340147953_0,340147771,340147953,0,72.7,residential,50,1,0,0,0,1,3,72.7,0,0,bajo,0.44000000000000006,medio
340147773_340147771_0,340147773,340147771,0,101.843,pedestrian,50,1,0,0,0,1,2,1.0,0,0,bajo,0.56,medio
340147773_340147952_0,340147773,340147952,0,80.999,secondary,50,4,0,0,1,1,2,1.0,0,0,bajo,0.56,medio
340147776_291180359_0,340147776,291180359,0,126.791,primary,50,2,0,0,1,1,2,1.0,0,0,bajo,0.64,alto
340147776_4789143942_0,340147776,4789143942,0,7.5,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
340147835_12015677389_0,340147835,12015677389,0,5.055,residential,40,1,0,0,1,1,2,1.0,0,0,bajo,0.32000000000000006,medio
340147835_8371097626_0,340147835,8371097626,0,45.388,secondary,50,4,0,0,1,1,2,1.0,0,0,bajo,0.56,medio
340147838_8374031442_0,340147838,8374031442,0,27.349,residential,50,1,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
340147838_2005884833_0,340147838,2005884833,0,97.278,primary,50,2,0,0,1,1,2,1.0,0,0,bajo,0.64,alto
340147856_4790194776_0,340147856,4790194776,0,6.527,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
340147856_340147864_0,340147856,340147864,0,104.214,primary,50,2,0,0,1,1,3,104.214,0,0,bajo,0.64,alto
340147864_800823631_0,340147864,800823631,0,24.691,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
340147864_340147877_0,340147864,340147877,0,116.196,primary,50,2,0,0,1,1,2,1.0,0,0,bajo,0.64,alto
340147877_4807821444_0,340147877,4807821444,0,7.012,residential,50,2,0,0,1,1,2,1.0,0,0,bajo,0.44000000000000006,medio
